ax,ay,az,gx,gy,gz,mx,my,mz,lax,lay,laz,q1,q2,q3,q4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.05337523,-0.01940918,0.00286865,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.05346679,-0.01986694,0.003265379,-0.01103783,0.002755165,-0.00620842,0,0,0,0.006239891,-0.005670547,-0.008562088,0.7635031,-0.2326506,0.5926659,0.10809
-0.05355834,-0.02044677,0.00286865,-0.01073265,0.002449989,-0.00645256,0,0,0,0.006137848,-0.00614357,-0.008883476,0.763124,-0.2338161,0.5927133,0.1079926
-0.0534973,-0.02041626,0.002807615,-0.01054955,0.002327919,-0.005842209,0,0,0,0.006189346,-0.006012917,-0.008871078,0.7627476,-0.2349396,0.5927656,0.1079266
-0.05416869,-0.02035522,0.002410887,-0.01054955,0.002388954,-0.005842209,0.9384463,-0.156297,0.045513,0.005508423,-0.005852699,-0.009191513,0.7623581,-0.2360605,0.5928327,0.1078641
-0.05584715,-0.01974487,0.003234861,-0.0101223,0.002388954,-0.005292892,0.9384463,-0.156297,0.045513,0.003822327,-0.005152702,-0.008295059,0.7619795,-0.237103,0.5929086,0.1078365
-0.05639647,-0.02017212,0.004119871,-0.0101223,0.002327919,-0.005231857,0.9384463,-0.156297,0.045513,0.003264427,-0.005491257,-0.007340431,0.7616183,-0.2381392,0.5929617,0.1078117
-0.05709837,-0.02087402,0.003662108,-0.01006126,0.002785683,-0.004804611,0.9384463,-0.156297,0.045513,0.002555847,-0.006106377,-0.007722855,0.7612242,-0.2391701,0.5930568,0.1077909
-0.05709837,-0.01992797,0.004211424,-0.009817123,0.003182411,-0.004499435,0.9384463,-0.156297,0.045513,0.002550125,-0.005081177,-0.007097244,0.7608229,-0.2401487,0.5931762,0.1077904
-0.05639647,-0.02050781,0.00640869,-0.009542465,0.003029823,-0.004590988,0.9384463,-0.156297,0.045513,0.0032444,-0.005578995,-0.004834175,0.7604801,-0.2411078,0.5932307,0.1077686
-0.05603026,-0.02124023,0.006927488,-0.009572983,0.002297401,-0.00419426,0.9355539,-0.1142776,0.05751282,0.003601074,-0.006231308,-0.004258156,0.7601793,-0.2420549,0.5932299,0.1077722
-0.05670165,-0.02111816,0.007202147,-0.008810043,0.002205849,-0.003675461,0.9355539,-0.1142776,0.05751282,0.002921104,-0.006035805,-0.003929138,0.7598949,-0.2429237,0.5932377,0.1077803
-0.0567932,-0.0208435,0.00814819,-0.008871078,0.001778603,-0.003705978,0.9355539,-0.1142776,0.05751282,0.002820015,-0.005688667,-0.002937317,0.7596461,-0.2437774,0.5932013,0.1078068
-0.0569763,-0.02062988,0.008758541,-0.008993149,0.001107216,-0.003095627,0.9385538,-0.1412775,0.05451294,0.002627373,-0.005410194,-0.002287865,0.7594309,-0.2445925,0.5931255,0.1078944
-0.05670165,-0.02044677,0.008850094,-0.00859642,0.0009241104,-0.00242424,0.9385538,-0.1412775,0.05451294,0.002894402,-0.005168915,-0.002161026,0.7592283,-0.2453474,0.593052,0.1080098
